Timestamp;Entrevistador;Longitude;Latitude;;;;;;;;;;;;;;;;;
11/13/2020 09:46;ahman;-38.8029533;-8.0184927;;;;;;;;;;;;;;;;;
11/13/2020 09:49;usapi;-38.80175099;-8.01826611;;;;;;;;;;;;;;;;;
11/13/2020 09:53;usapi;-38.80236219;-8.01878229;;;;;;;;;;;;;;;;;
11/13/2020 09:48;ahman;-38.8029503;-8.01884712;;;;;;;;;;;;;;;;;
11/13/2020 10:52;ahman;-38.7344189;-8.1221031;;;;;;;;;;;;;;;;;
11/13/2020 10:54;ahman;-38.7344538;-8.1222807;;;;;;;;;;;;;;;;;
11/13/2020 10:56;ahman;-38.7343317;-8.1223779;;;;;;;;;;;;;;;;;
11/13/2020 11:09;ahman;-38.7331487;-8.1247952;;;;;;;;;;;;;;;;;
11/13/2020 10:52;usapi;-38.7342734;-8.1211099;;;;;;;;;;;;;;;;;
11/13/2020 11:12;ahman;-38.7330589;-8.1252807;;;;;;;;;;;;;;;;;
11/13/2020 10:55;usapi;-38.7342605;-8.1211048;;;;;;;;;;;;;;;;;
11/13/2020 11:14;ahman;-38.7330627;-8.1252319;;;;;;;;;;;;;;;;;
11/13/2020 11:10;usapi;-38.7332949;-8.1244081;;;;;;;;;;;;;;;;;
11/13/2020 11:15;ahman;-38.7329675;-8.125257;;;;;;;;;;;;;;;;;
11/13/2020 11:12;usapi;-38.7327796;-8.1245284;;;;;;;;;;;;;;;;;
11/13/2020 11:17;ahman;-38.7325293;-8.1254299;;;;;;;;;;;;;;;;;
11/13/2020 11:14;usapi;-38.7326238;-8.1245218;;;;;;;;;;;;;;;;;
11/13/2020 11:19;ahman;-38.7319793;-8.12549;;;;;;;;;;;;;;;;;
11/13/2020 11:17;usapi;-38.732654;-8.1244842;;;;;;;;;;;;;;;;;
11/13/2020 11:21;ahman;-38.7317083;-8.1255432;;;;;;;;;;;;;;;;;
11/13/2020 11:19;usapi;-38.7325262;-8.1240645;;;;;;;;;;;;;;;;;
11/13/2020 11:24;ahman;-38.7317463;-8.1249558;;;;;;;;;;;;;;;;;
11/13/2020 11:20;usapi;-38.7323883;-8.123743;;;;;;;;;;;;;;;;;
11/13/2020 11:46;ahman;-38.7271635;-8.1234653;;;;;;;;;;;;;;;;;
11/13/2020 11:48;ahman;-38.7271635;-8.1234653;;;;;;;;;;;;;;;;;
11/13/2020 11:23;usapi;-38.7324731;-8.1233555;;;;;;;;;;;;;;;;;
11/13/2020 11:50;ahman;-38.72735685;-8.12452794;;;;;;;;;;;;;;;;;
11/13/2020 11:28;usapi;-38.7318849;-8.1229743;;;;;;;;;;;;;;;;;
11/13/2020 11:55;ahman;-38.7271635;-8.1234653;;;;;;;;;;;;;;;;;
11/13/2020 11:47;usapi;-38.7277031;-8.1246625;;;;;;;;;;;;;;;;;
11/13/2020 12:01;ahman;-38.7324689;-8.1219356;;;;;;;;;;;;;;;;;
11/13/2020 11:51;usapi;-38.727703;-8.1246578;;;;;;;;;;;;;;;;;
11/13/2020 12:03;ahman;-38.7271635;-8.1234653;;;;;;;;;;;;;;;;;
11/13/2020 11:53;usapi;-38.7278652;-8.1254716;;;;;;;;;;;;;;;;;
11/13/2020 12:05;ahman;-38.7334968;-8.1227171;;;;;;;;;;;;;;;;;
11/13/2020 11:55;usapi;-38.7279033;-8.1257254;;;;;;;;;;;;;;;;;
11/13/2020 12:09;ahman;-38.7335038;-8.1227185;;;;;;;;;;;;;;;;;
11/13/2020 12:02;usapi;-38.7278475;-8.1254943;;;;;;;;;;;;;;;;;
11/13/2020 12:13;ahman;-38.7271635;-8.1234653;;;;;;;;;;;;;;;;;
11/13/2020 12:10;usapi;-38.7270977;-8.1260935;;;;;;;;;;;;;;;;;
